UniqueKey,Config,Run,TimeStep,avgUtil,avgGathered,avgHeld,gini,complexity,T1_made,T2_made,T3_made,T4_made,T5_made,T6_made,totalUtil
B02102017222802257120124,dbtest1,001,56,49966,3651,703,0.0151573,13.4922,9,1,0,0,0,0,99932,
B02102017222802257120124,dbtest1,001,57,50642.5,3769,875,0.0146703,13.4343,3.5,0,0,0,0,0,101285,
B02102017222802257120124,dbtest1,001,58,51232.5,3761,785,0.0136331,15.3662,7,1.5,0,0,0,0,102465,
B02102017222802257120124,dbtest1,001,59,52467.5,4014,1032.5,0.00818836,18.8378,9,2,0,0,0,0,104935,
B02102017222802257120124,dbtest1,001,60,52885.5,4069,894,0.00746368,15.2601,5,1,0,0,0,0,105771,
B02102017222802257120124,dbtest1,001,61,52462.5,4003,795.5,0.00846098,15.0314,7.5,1,0,0,0,0,104925,
B02102017222802257120124,dbtest1,001,62,52650.5,4194,1033,0.0103515,18.0252,9,1.5,0,0,0,0,105301,
B02102017222802257120124,dbtest1,001,63,52611,4029,745.5,0.013421,16.0262,8,2.5,0,0,0,0,105222,
B02102017222802257120124,dbtest1,001,64,53991.5,4251,1066.5,0.0106826,18.5373,7,2,0,0,0,0,107983,
B02102017222802257120124,dbtest1,001,65,54153.5,4393,1030,0.00658433,17.4951,7.5,1.5,0,0,0,0,108307,
B02102017222802257120124,dbtest1,001,66,55040.5,4677,1166.5,0.00256052,17.4411,3.5,0.5,0,0,0,0,110081,
B02102017222802257120124,dbtest1,001,67,54034.5,4376.5,727,0.010459,18.2565,17,4,0,0,0,0,108069,
B02102017222802257120124,dbtest1,001,68,54075.5,4471.5,1017,0.00957061,18.385,6.5,2,0,0,0,0,108151,
B02102017222802257120124,dbtest1,001,69,53831.5,4228,704,0.005612,17.6562,8,3,0,0,0,0,107663,
B02102017222802257120124,dbtest1,001,70,54674,4365.5,1012.5,0.000517765,19.0741,9.5,3,0,0,0,0,109348,
B02102017222802257120124,dbtest1,001,71,56052.5,4532.5,1103,0.00152489,18.7421,9.5,2.5,0,0,0,0,112105,
B02102017222802257120124,dbtest1,001,72,55855,4298.5,754,0.00298607,19.9304,16.5,4.5,0,0,0,0,111710,
B02102017222802257120124,dbtest1,001,73,58924.5,4888,1457.5,0.00348407,19.1098,1.5,0.5,0,0,0,0,117849,
B02102017222802257120124,dbtest1,001,74,60116,5147,1273,0.00540036,19.128,7.5,1.5,0,0,0,0,120232,
B02102017222802257120124,dbtest1,001,75,60634.5,5280.5,1208.5,0.00539266,18.9884,7,1.5,0,0,0,0,121269,
B02102017222802257120124,dbtest1,001,76,61506,5482.5,1282,0.00474246,19.1634,6.5,1.5,0,0,0,0,123012,
B02102017222802257120124,dbtest1,001,77,62045,5603,1203,0.00337642,19.1022,7.5,1.5,0,0,0,0,124090,
B02102017222802257120124,dbtest1,001,78,61585,5500.5,1081,0.0060204,19.1397,10,2.5,0,0,0,0,123170,
B02102017222802257120124,dbtest1,001,79,62514,5732,1359,0.00491648,19.1887,5.5,1,0,0,0,0,125028,
B02102017222802257120124,dbtest1,001,80,63139.5,5861.5,1337,0.00534605,19.2988,6.5,1.5,0,0,0,0,126279,
B02102017222802257120124,dbtest1,001,81,62794.5,5774.5,1098,0.00157489,19.0369,9.5,2,0,0,0,0,125589,
B02102017222802257120124,dbtest1,001,82,63224.5,5900.5,1336,0.00568878,19.1299,6.5,1.5,0,0,0,0,126449,
B02102017222802257120124,dbtest1,001,83,63359.5,5814.5,1186.5,0.00316983,19.5006,10.5,2.5,0,0,0,0,126719,
B02102017222802257120124,dbtest1,001,84,63922.5,5946,1338,0.00306443,19.3274,4,1,0,0,0,0,127845,
B02102017222802257120124,dbtest1,001,85,62791,5674.5,941.5,0.00359595,19.1317,12.5,3,0,0,0,0,125582,
B02102017222802257120124,dbtest1,001,86,63044.5,5728,1209.5,0.00518665,19.1505,7,1.5,0,0,0,0,126089,
B02102017222802257120124,dbtest1,001,87,63892,5928.5,1363,0.00419036,19.2517,4.5,1,0,0,0,0,127784,
B02102017222802257120124,dbtest1,001,88,63745.5,5875,1205.5,0.00206153,19.1788,8,2,0,0,0,0,127491,
B02102017222802257120124,dbtest1,001,89,63456,5798,1137,0.0049195,19.2348,9.5,2,0,0,0,0,126912,
B02102017222802257120124,dbtest1,001,90,64403.5,6020,1420.5,0.0057256,19.2767,4,1,0,0,0,0,128807,
B02102017222802257120124,dbtest1,001,91,64436.5,6014.5,1210,0.00236234,19.064,8.5,2,0,0,0,0,128873,
B02102017222802257120124,dbtest1,001,92,64677,6058,1300.5,0.00452125,19.1349,7.5,1.5,0,0,0,0,129354,
B02102017222802257120124,dbtest1,001,93,64021,5896,1120.5,0.00988783,19.1767,8.5,2,0,0,0,0,128042,
B02102017222802257120124,dbtest1,001,94,62842,5522.5,891,0.00635282,19.3939,10,3,0,0,0,0,125684,
B02102017222802257120124,dbtest1,001,95,64407.5,5698,1342.5,0.00388292,19.7821,5,1.5,0,0,0,0,128815,
B02102017222802257120124,dbtest1,001,96,63099,5446,921.5,0.00456494,29.2946,13,3.5,0.5,0,0,0,126198,
B02102017222802257120124,dbtest1,001,97,65969,6929.5,2648.5,0.000491978,59.5346,4.5,1,0,0,0,0,131938,
B02102017222802257120124,dbtest1,001,98,62555.5,5958.5,526,0.00511444,19.5722,18.5,5,0.5,0,0,0,125111,
B02102017222802257120124,dbtest1,001,99,66098,6927.5,2183.5,0.00396542,39.2386,0,0,0,0,0,0,132196,
B02102017222802257120124,dbtest1,001,100,64720.5,6014,548,.,31.0584,19.5,5.5,0.5,0,0,0,129441,
B02102017222802257120124,dbtest1,002,1,11226,67,67,.,0,0,0,0,0,0,0,22452,
B02102017222802257120124,dbtest1,002,2,14107,118.5,67,0.00140875,0,0,0,0,0,0,0,28214,
B02102017222802257120124,dbtest1,002,3,15987,162,68,0.00121787,0,0,0,0,0,0,0,31974,
B02102017222802257120124,dbtest1,002,4,17288.5,197,68,0.000794562,0,0,0,0,0,0,0,34577,
B02102017222802257120124,dbtest1,002,5,18249,225.5,68,0.00156654,0,0,0,0,0,0,0,36498,
B02102017222802257120124,dbtest1,002,6,18895,246,68,0.00357017,0,0,0,0,0,0,0,37790,
B02102017222802257120124,dbtest1,002,7,19509.5,266.5,69,0.00821182,0,0,0,0,0,0,0,39019,
B02102017222802257120124,dbtest1,002,8,19926,281,69,0.00840404,0,0,0,0,0,0,0,39852,
B02102017222802257120124,dbtest1,002,9,19199.5,307,123.5,0.00677574,4.73684,8,0,0,0,0,0,38399,
B02102017222802257120124,dbtest1,002,10,19388,327,98.5,0.000876066,2.74112,3,0,0,0,0,0,38776,
B02102017222802257120124,dbtest1,002,11,19967,360.5,107.5,0.00270845,2.65116,1,0,0,0,0,0,39934,
B02102017222802257120124,dbtest1,002,12,20572,400.5,119,0.00170851,3.0042,1,0,0,0,0,0,41144,
B02102017222802257120124,dbtest1,002,13,21027.5,439,124.5,0.00588538,3.03213,1,0,0,0,0,0,42055,
B02102017222802257120124,dbtest1,002,14,20004,411,103.5,0.00993883,4.32367,9.5,0,0,0,0,0,40008,
B02102017222802257120124,dbtest1,002,15,19202.5,363,86.5,0.0111715,3.69942,9,0,0,0,0,0,38405,
B02102017222802257120124,dbtest1,002,16,20458.5,405,125.5,0.00641634,3.60558,3,0,0,0,0,0,40917,
B02102017222802257120124,dbtest1,002,17,21812.5,474,152,0.00071069,3.89803,2,0,0,0,0,0,43625,
B02102017222802257120124,dbtest1,002,18,22524.5,523,154,5.36385e-05,3.94481,3,0,0,0,0,0,45049,
B02102017222802257120124,dbtest1,002,19,23203,575,169,0.00187222,4.08284,3,0,0,0,0,0,46406,
B02102017222802257120124,dbtest1,002,20,24185,656,200,0.0064959,4.2625,2,0,0,0,0,0,48370,
B02102017222802257120124,dbtest1,002,21,24986,733,213.5,0.00916037,4.33255,2,0,0,0,0,0,49972,
B02102017222802257120124,dbtest1,002,22,23990.5,629.5,105,0.011711,4.30952,11.5,0,0,0,0,0,47981,
B02102017222802257120124,dbtest1,002,23,25229,711.5,217.5,0.00783523,4.48276,2.5,0,0,0,0,0,50458,
B02102017222802257120124,dbtest1,002,24,26094.5,790,255,0.00490412,4.60784,2.5,0,0,0,0,0,52189,
B02102017222802257120124,dbtest1,002,25,27040.5,875.5,259.5,0.00109558,4.60501,3,0,0,0,0,0,54081,
B02102017222802257120124,dbtest1,002,26,27562.5,927.5,247.5,0.000232117,4.54545,4,0,0,0,0,0,55125,
B02102017222802257120124,dbtest1,002,27,28458,1016,287,0.000215118,4.66028,3,0,0,0,0,0,56916,
B02102017222802257120124,dbtest1,002,28,29066,1078.5,287,0.00125894,4.60801,3.5,0,0,0,0,0,58132,
B02102017222802257120124,dbtest1,002,29,29637.5,1140,309,0.00334255,4.61165,3,0,0,0,0,0,59275,
B02102017222802257120124,dbtest1,002,30,30459,1229.5,331,0.00496119,4.66012,2.5,0,0,0,0,0,60918,
B02102017222802257120124,dbtest1,002,31,29431,1040,113.5,0.0056227,4.14097,11.5,0,0,0,0,0,58862,
B02102017222802257120124,dbtest1,002,32,29000,900.5,112,0.00320922,4.26339,11.5,0,0,0,0,0,58000,
B02102017222802257120124,dbtest1,002,33,30805.5,1037.5,338,0.000920284,4.80769,2.5,0,0,0,0,0,61611,
B02102017222802257120124,dbtest1,002,34,32195,1159.5,331,0.00264602,4.76586,4,0,0,0,0,0,64390,
B02102017222802257120124,dbtest1,002,35,33165.5,1243.5,335.5,0.00252961,4.7839,4,0,0,0,0,0,66331,
B02102017222802257120124,dbtest1,002,36,31388.5,981.5,75.5,0.00467387,5,17.5,0,0,0,0,0,62777,
B02102017222802257120124,dbtest1,002,37,33485,1084,341,0.00557394,5,4,0,0,0,0,0,66970,
B02102017222802257120124,dbtest1,002,38,35899.5,1779.5,948.5,0.00693674,19.233,9,1,0,0,0,0,71799,
B02102017222802257120124,dbtest1,002,39,37003.5,1976,579.5,0.00546071,14.7196,6,2,0,0,0,0,74007,
B02102017222802257120124,dbtest1,002,40,38028,2084,520.5,0.00542322,13.4294,7,1,0,0,0,0,76056,
B02102017222802257120124,dbtest1,002,41,39102,2201,589,0.00451319,13.455,6,1,0,0,0,0,78204,
B02102017222802257120124,dbtest1,002,42,40189.5,2321.5,616,0.00400819,13.3888,5,0.5,0,0,0,0,80379,
B02102017222802257120124,dbtest1,002,43,41078,2413.5,585.5,0.00188448,12.7114,6,0.5,0,0,0,0,82156,
B02102017222802257120124,dbtest1,002,44,41793,2485,582,0.0013787,12.5387,6.5,1,0,0,0,0,83586,
B02102017222802257120124,dbtest1,002,45,42760.5,2598,623.5,0.00154595,12.9511,6.5,1,0,0,0,0,85521,
B02102017222802257120124,dbtest1,002,46,43647,2699.5,664.5,0.00453938,12.9571,5.5,0,0,0,0,0,87294,
B02102017222802257120124,dbtest1,002,47,44579.5,2814.5,689.5,0.00736603,12.7774,5,1,0,0,0,0,89159,
B02102017222802257120124,dbtest1,002,48,47254.5,3201.5,1002.5,0.00734757,20,12,3,0,0,0,0,94509,
B02102017222802257120124,dbtest1,002,49,49694,3754.5,1197.5,0.00548519,18.3466,3.5,1,0,0,0,0,99388,
B02102017222802257120124,dbtest1,002,50,49494.5,3742,764.5,0.00129684,17.3708,11,2.5,0,0,0,0,98989,
B02102017222802257120124,dbtest1,002,51,50578.5,3920.5,973,0.000618165,16.832,5.5,1,0,0,0,0,101157,
B02102017222802257120124,dbtest1,002,52,50870.5,3958,838.5,0.000221418,16.5295,8.5,2,0,0,0,0,101741,
B02102017222802257120124,dbtest1,002,53,51018.5,4005.5,885.5,0.000127531,18.1621,11.5,2.5,0,0,0,0,102037,
B02102017222802257120124,dbtest1,002,54,52795.5,4347.5,1157.5,0.000235565,17.5248,3,0.5,0,0,0,0,105591,
B02102017222802257120124,dbtest1,002,55,53011,4365,925.5,0.000925469,16.9449,7.5,1.5,0,0,0,0,106022,
B02102017222802257120124,dbtest1,002,56,52324,4215.5,809.5,0.000232652,17.1371,11.5,2.5,0,0,0,0,104648,
B02102017222802257120124,dbtest1,002,57,53773.5,4478.5,1116,0.000960108,17.0497,3,0.5,0,0,0,0,107547,
B02102017222802257120124,dbtest1,002,58,54013,4501,973,0.000942123,16.9707,7.5,1,0,0,0,0,108026,
B02102017222802257120124,dbtest1,002,59,53914,4459,896,0.00364802,16.8945,9,2,0,0,0,0,107828,
B02102017222802257120124,dbtest1,002,60,54737.5,4612,1095,0.00687986,16.9726,4.5,0.5,0,0,0,0,109475,
B02102017222802257120124,dbtest1,002,61,56027,4740,1096,0.00779876,17.906,6,1.5,0,0,0,0,112054,
B02102017222802257120124,dbtest1,002,62,55154.5,4553,824.5,0.0110874,17.3438,12,2.5,0,0,0,0,110309,
B02102017222802257120124,dbtest1,002,63,56313,4783.5,1156,0.00905555,17.5087,4.5,1,0,0,0,0,112626,
B02102017222802257120124,dbtest1,002,64,57575,5048.5,1234,0.00847562,17.4595,3,0,0,0,0,0,115150,
B02102017222802257120124,dbtest1,002,65,56035.5,4712.5,736.5,0.00759568,17.0265,14,3.5,0,0,0,0,112071,
B02102017222802257120124,dbtest1,002,66,57527.5,4955.5,1229,0.00511835,18.7307,7.5,1.5,0,0,0,0,115055,
B02102017222802257120124,dbtest1,002,67,58475.5,5160.5,1227.5,0.00632439,17.9654,4,1,0,0,0,0,116951,
B02102017222802257120124,dbtest1,002,68,58711.5,5202.5,1107,0.00513215,17.8388,7.5,1.5,0,0,0,0,117423,
B02102017222802257120124,dbtest1,002,69,57019.5,4835,783.5,0.00592288,17.6452,13,3,0,0,0,0,114039,
B02102017222802257120124,dbtest1,002,70,58903.5,5234,1367.5,0.00350286,17.8611,1,0,0,0,0,0,117807,
B02102017222802257120124,dbtest1,002,71,59118.5,5277,1146,0.00382329,17.8207,6,1,0,0,0,0,118237,
B02102017222802257120124,dbtest1,002,72,57977,5016.5,852.5,0.00359472,17.5718,13.5,3,0,0,0,0,115954,
B02102017222802257120124,dbtest1,002,73,59127,5254.5,1285.5,0.00337705,17.8063,3.5,0.5,0,0,0,0,118254,
B02102017222802257120124,dbtest1,002,74,59683,5370.5,1223.5,0.00301354,17.6951,3.5,0.5,0,0,0,0,119366,
B02102017222802257120124,dbtest1,002,75,58489.5,5099,848.5,0.00240006,17.693,14.5,3,0,0,0,0,116979,
B02102017222802257120124,dbtest1,002,76,59525.5,5330.5,1268,0.00673168,17.9476,3.5,0.5,0,0,0,0,119051,
B02102017222802257120124,dbtest1,002,77,60314,5508.5,1288,0.00381324,17.8513,3.5,0.5,0,0,0,0,120628,
B02102017222802257120124,dbtest1,002,78,60427.5,5299.5,950.5,0.00181617,19.566,14,3.5,0,0,0,0,120855,
B02102017222802257120124,dbtest1,002,79,60862.5,5256,1046,0.00161065,19.1467,9.5,3,0,0,0,0,121725,
B02102017222802257120124,dbtest1,002,80,56557,4215,138,0.00565195,20,17.5,7.5,0,0,0,0,113114,
B02102017222802257120124,dbtest1,002,81,61545,4986,1601.5,0.00571101,19.7799,2,0.5,0,0,0,0,123090,
B02102017222802257120124,dbtest1,002,82,60332,4752,809.5,0.00677563,19.6016,11,3.5,0,0,0,0,120664,
B02102017222802257120124,dbtest1,002,83,62241,5128.5,1360.5,0.0076482,19.6251,5.5,1.5,0,0,0,0,124482,
B02102017222802257120124,dbtest1,002,84,61838,5044.5,995,0.0104696,19.5477,12,3,0,0,0,0,123676,
B02102017222802257120124,dbtest1,002,85,63056.5,5308.5,1276.5,0.0127548,19.6357,8,2,0,0,0,0,126113,
B02102017222802257120124,dbtest1,002,86,65060,5737,1501.5,0.00544862,19.6653,4.5,1,0,0,0,0,130120,
