UniqueKey,Config,Run,TimeStep,avgUtil,avgGathered,avgHeld,gini,complexity,T1_made,T2_made,T3_made,T4_made,T5_made,T6_made,totalUtil
B26032017042340627189166,T4_24_24,001,1,21649,67,67,.,0,0,0,0,0,0,0,519576,
B26032017042340627189166,T4_24_24,001,2,27337.4,119.375,67,0.0067564,0,0,0,0,0,0,0,656098,
B26032017042340627189166,T4_24_24,001,3,30894.5,162.083,67,0.00725514,0,0,0,0,0,0,0,741467,
B26032017042340627189166,T4_24_24,001,4,33352.5,196.167,67,0.00782136,0,0,0,0,0,0,0,800461,
B26032017042340627189166,T4_24_24,001,5,35216.8,224.708,67,0.00848455,0,0,0,0,0,0,0,845203,
B26032017042340627189166,T4_24_24,001,6,36560.1,246.75,67,0.0079219,0,0,0,0,0,0,0,877443,
B26032017042340627189166,T4_24_24,001,7,37451.6,262.125,67,0.007005,0,0,0,0,0,0,0,898839,
B26032017042340627189166,T4_24_24,001,8,38346.9,277.958,68,0.00709482,0,0,0,0,0,0,0,920326,
B26032017042340627189166,T4_24_24,001,9,38902.7,288.125,68,0.00737394,0,0,0,0,0,0,0,933665,
B26032017042340627189166,T4_24_24,001,10,39516,299.625,68,0.00728343,0,0,0,0,0,0,0,948383,
B26032017042340627189166,T4_24_24,001,11,40009.2,309.042,68,0.00659142,0,0,0,0,0,0,0,960221,
B26032017042340627189166,T4_24_24,001,12,40411.2,316.833,68,0.00536933,0,0,0,0,0,0,0,969870,
B26032017042340627189166,T4_24_24,001,13,40532.8,319.208,68,0.00489213,0,0,0,0,0,0,0,972787,
B26032017042340627189166,T4_24_24,001,14,39505.7,327,89.625,0.00637104,1.97768,5.83333,0,0,0,0,0,948136,
B26032017042340627189166,T4_24_24,001,15,39294.8,323,69.1667,0.00759709,0.607229,2.75,0,0,0,0,0,943074,
B26032017042340627189166,T4_24_24,001,16,39688.8,331.833,75.125,0.00922255,0.638935,1.16667,0,0,0,0,0,952532,
B26032017042340627189166,T4_24_24,001,17,39967,337.875,75.2083,0.00838819,0.611634,1.08333,0,0,0,0,0,959209,
B26032017042340627189166,T4_24_24,001,18,40517.4,350.125,79.5833,0.00870274,0.664398,0.166667,0,0,0,0,0,972418,
B26032017042340627189166,T4_24_24,001,19,39477.5,350.833,90.875,0.00868728,2.22971,7.45833,0,0,0,0,0,947461,
B26032017042340627189166,T4_24_24,001,20,39321.9,347.125,77.2083,0.00787741,1.11063,3.41667,0,0,0,0,0,943726,
B26032017042340627189166,T4_24_24,001,21,40105.4,365.167,91.25,0.00859896,1.18219,0.5,0,0,0,0,0,962530,
B26032017042340627189166,T4_24_24,001,22,37260,303.083,55.4167,0.00780234,2.60977,14.75,0,0,0,0,0,894240,
B26032017042340627189166,T4_24_24,001,23,39059.3,364,125.042,0.00886326,2.18027,1.5,0,0,0,0,0,937424,
B26032017042340627189166,T4_24_24,001,24,37537.2,331.333,73.5833,0.00876878,2.40034,11.375,0,0,0,0,0,900894,
B26032017042340627189166,T4_24_24,001,25,38510.5,359.75,106.5,0.00863309,2.0939,4,0,0,0,0,0,924253,
B26032017042340627189166,T4_24_24,001,26,38637.7,364.125,96.2083,0.00792931,2.32828,7.375,0,0,0,0,0,927304,
B26032017042340627189166,T4_24_24,001,27,38446.2,358.333,89.2917,0.0109111,2.32385,8.45833,0,0,0,0,0,922709,
B26032017042340627189166,T4_24_24,001,28,39162.2,375.667,106.292,0.0106964,2.37436,6.25,0,0,0,0,0,939894,
B26032017042340627189166,T4_24_24,001,29,37529,332.583,70.5,0.0139384,2.54433,12.5417,0,0,0,0,0,900695,
B26032017042340627189166,T4_24_24,001,30,39948.3,390.875,136.792,0.0093811,2.60707,4.04167,0,0,0,0,0,958760,
B26032017042340627189166,T4_24_24,001,31,40805.7,417.708,123.833,0.00990358,2.99192,5.5,0.0416667,0,0,0,0,979336,
B26032017042340627189166,T4_24_24,001,32,40594.5,411.333,102.833,0.00898482,2.80186,8.375,0,0,0,0,0,974268,
B26032017042340627189166,T4_24_24,001,33,41489.1,431.583,122.083,0.0105412,2.83618,6.375,0,0,0,0,0,995739,
B26032017042340627189166,T4_24_24,001,34,41850,440.667,117.5,0.0115072,3.11489,7.45833,0.0833333,0,0,0,0,1.0044e+06,
B26032017042340627189166,T4_24_24,001,35,42951.2,473.625,138.292,0.0143748,3.78096,5.79167,0.0833333,0,0,0,0,1.03083e+06,
B26032017042340627189166,T4_24_24,001,36,43773,498.625,139.125,0.0177845,4.05571,6.20833,0.0833333,0,0,0,0,1.05055e+06,
B26032017042340627189166,T4_24_24,001,37,44054.2,504.792,127.208,0.0159345,3.47756,7.20833,0.0833333,0,0,0,0,1.0573e+06,
B26032017042340627189166,T4_24_24,001,38,43652.2,488.667,111.875,0.0196525,3.95642,9.875,0.0833333,0,0,0,0,1.04765e+06,
B26032017042340627189166,T4_24_24,001,39,44543.5,507.625,134.833,0.0208771,3.61465,7.29167,0.0416667,0,0,0,0,1.06904e+06,
B26032017042340627189166,T4_24_24,001,40,44114.2,502.458,125.708,0.0260592,5.17567,10.25,0.0833333,0,0,0,0,1.05874e+06,
B26032017042340627189166,T4_24_24,001,41,46106.9,549.208,162.875,0.0230977,4.20261,5.54167,0.208333,0,0,0,0,1.10657e+06,
B26032017042340627189166,T4_24_24,001,42,46820,580.375,162.5,0.0284507,5.28615,7.45833,0.166667,0,0,0,0,1.12368e+06,
B26032017042340627189166,T4_24_24,001,43,47552.7,598.042,153.833,0.0283618,4.91685,7.95833,0.208333,0,0,0,0,1.14126e+06,
B26032017042340627189166,T4_24_24,001,44,48139.4,622.958,169.25,0.0300774,5.3486,7.58333,0.208333,0,0,0,0,1.15535e+06,
B26032017042340627189166,T4_24_24,001,45,48771.1,630.25,158.833,0.0345042,5.1957,8.58333,0.208333,0,0,0,0,1.17051e+06,
B26032017042340627189166,T4_24_24,001,46,49544.2,673.625,192.792,0.041003,6.24508,7.70833,0.25,0,0,0,0,1.18906e+06,
B26032017042340627189166,T4_24_24,001,47,50193.1,694.417,183.667,0.044989,6.30014,8.95833,0.333333,0,0,0,0,1.20463e+06,
B26032017042340627189166,T4_24_24,001,48,51618.4,790.083,251.292,0.0511555,6.97844,6.04167,0.0833333,0,0,0,0,1.23884e+06,
B26032017042340627189166,T4_24_24,001,49,51972.3,799.542,195.75,0.0573982,6.96679,10,0.25,0,0,0,0,1.24734e+06,
B26032017042340627189166,T4_24_24,001,50,53705.2,903.208,277.125,0.0628339,7.08931,5.91667,0.125,0,0,0,0,1.28892e+06,
B26032017042340627189166,T4_24_24,001,51,54706.4,973.958,275.375,0.068934,7.51838,7.54167,0.291667,0,0,0,0,1.31295e+06,
B26032017042340627189166,T4_24_24,001,52,55207.3,1014.21,265.292,0.0736831,8.04586,9.125,0.375,0,0,0,0,1.32498e+06,
B26032017042340627189166,T4_24_24,001,53,57003.1,1109.75,317.625,0.0750575,7.47422,5.91667,0.291667,0,0,0,0,1.36807e+06,
B26032017042340627189166,T4_24_24,001,54,58379.2,1187.38,319.708,0.0758662,7.76098,6.875,0.416667,0,0,0,0,1.4011e+06,
B26032017042340627189166,T4_24_24,001,55,58996.5,1223.25,299.75,0.0799744,7.84195,8.375,0.416667,0,0,0,0,1.41592e+06,
B26032017042340627189166,T4_24_24,001,56,60503.4,1306.5,348.417,0.0813016,7.78163,6.125,0.333333,0,0,0,0,1.45208e+06,
